Ementa,Assunto
"Requer à Secretaria de Infraestrutura do Estado Reparo Urgente em Buracos na Rodovia Gov. Aderbal Ramos da Silva, nº 100, Próximo à Escola Júlia da Costa",Manutenção da infraestrutura viária
REQUERIMENTO DE INFORMAÇÕES SOBRE A EXECUÇÃO DO PROGRAMA ESTRADA BOA NAS RODOVIAS ESTADUAIS LOCALIZADAS EM FLORIANÓPOLIS,Manutenção da infraestrutura viária
"Requer a realização de Reunião Ampliada da Comissão de Educação, Cultura e Desporto para tratar sobre a ausência de repasses ao Fundo Municipal de Cultura (FMC) pela Prefeitura de Florianópolis",Gestão e Regulação da Cultura e Lazer
"Requer a realização de Audiência Pública no âmbito da Comissão de Educação, Cultura e Desporto, para tratar da dívida do Município de Florianópolis com o ECAD referente ao pagamento de direitos autorais pela execução pública de músicas em eventos oficiais.",Planejamento e orçamento público
"INCLUI O ART. 6-A, NA LEI COMPLEMENTAR Nº 760, DE 7 DE MAIO DE 2024, QUE DISPÕE SOBRE OS PROTETORES, ACOLHEDORES, LARES DE APOIO E OUTROS TUTORES DESTA NATUREZA, DE ANIMAIS DOMÉSTICOS (CÃES E GATOS) NO MUNICÍPIO DE FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.",Bem-estar e proteção animal
Indicação de manutenção viária e pavimentação na Travessa dos Pinheiros – Tapera da Base.,Manutenção da infraestrutura viária
"Solicita limpeza de terreno baldio na Rua da Fonte, Vila Aparecida.",Limpeza Urbana
Sugere ao órgão competente o estudo visando a implementação de totens ou guichês para emissão e recarga do cartão de transporte em áreas estratégicas e turísticas da cidade.,Transporte público
"Indica à SMSOP fiscalização de construção de empreendimento multifamiliar em AVL na rua Laureano, próximo ao número 887, Campeche",Áreas protegidas e conservação ambiental
Indica a manutenção da estrutura NEIM José Rodrigues Willamil,Manutenção da estrutura escolar
"Restabelecer a coleta seletiva na Servidão Ismael João da Silva, na Tapera",Limpeza Urbana
Indica manutenção da quadra e do parquinho do CCFV Tapera,Criação e manutenção de área de lazer e atividade física
"Indica ao Executivo Municipal a necessidade de conserto do buraco na Rua Dom Pedro I, próximo ao nº 224, no bairro Capoeiras.",Manutenção da infraestrutura viária
Indica a melhoria da acessibilidade do Centro de Saúde da Costeira,Equipamentos públicos de saúde
"Padronização, sinalização e pintura das lombadas na R. João Câncio Jacques",Organização do trânsito
"Indicação de reparos na Rua Dr. Cid Gonzaga, no bairro Centro",Manutenção da infraestrutura viária
"Indicação de instalação do abrigo no ponto de ônibus localizado na Rod. Açoriana, 180 - Tapera.",Manutenção de pontos de ônibus
DECLARA DE UTILIDADE PÚBLICA MUNICIPAL O CLUBE ESPERANTO DE FLORIANÓPOLIS,Título de utilidade pública
"Recuperação de cobertura de ponto de ônibus danificada na Rodovia João Gualberto Soares, 8290 (Rio Vermelho).",Manutenção da infraestrutura viária
"Sugere ao órgão competente a retificação do zoneamento na área indicada da foto anexa, localizado no bairro Campeche, para exclusão da classificação de curso d’água atribuída à vala artificial aberta nas fortes chuvas de 1995.",Zoneamento
"Requer a Secretaria Municipal de Educação melhorias estruturais no NEIM Dona Cota, localizado no bairro Abraão.",Manutenção da estrutura escolar
"Indica a reconstrução da escada para acesso à praia na Rodovia Baldicero Filomeno, 11522",Acessibilidade
SUBSTITUTIVO GLOBAL AO PROJETO DE LEI N.º 19702/2025,Substitutivo
Requer o uso de Tribuna Livre para a nutricionista Caroline Von Borowski.,Pessoas com deficiência e neurodivergentes
"Requer à SMI – Secretaria Municipal de Infraestrutura e Manutenção da Cidade a lista de todos os procedimentos, melhorias e reparos executados na Antiga Rodoviária no ano de 2025.",Obras e Reparos Urbanos
"Requer à SMI – Secretaria Municipal de Infraestrutura e Manutenção da Cidade a relação das multas aplicadas no Terminal Cidade de Florianópolis, contendo data e horário.",Fiscalização administrativa e sanções
Requer cópia do ato administrativo que consolidou áreas do Terminal Cidade de Florianópolis como vagas oficiais.,Estacionamentos e vagas rotativas
"Requer ao Executivo Municipal cópia das passagens, datas e destinos das pessoas em situação de vulnerabilidade social que foram “devolvidas” para suas cidades de origem.",Pessoas em vulnerabilidade ou risco social
Requer ao Executivo Municipal cópia dos contratos firmados com as empresas responsáveis pelo guinchamento de veículos.,"Compras, contratos e patrimônio público"
Requer informações ao Executivo Municipal e à Secretaria Municipal de Saúde acerca da previsão de chamamentos dos aprovados no Concurso Público Edital 001/2024,
Requer informações ao Executivo Municipal e à Secretaria Municipal de Saúde acerca da disponibilidade de ambulâncias para atendimento de urgência e emergência no Norte da Ilha,Equipamentos públicos de saúde
"Solicito o serviço de hidrojato na Servidão Aristides Euzébio Coelho, no bairro São João do Rio Vermelho.",Limpeza Urbana
"Solicito reparo na calçada localizada na Rua João Meirelles, nº 1074, no bairro Abraão, em Florianópolis.",Manutenção da infraestrutura viária
"Solicito a limpeza e manutenção na Rua Laurindo Januário da Silveira, em toda sua extensão, partindo do Canto da Lagoa até o Porto da Lagoa, nesta Capital",Limpeza Urbana
"Indica Estudo e Implementação de Sistema de Drenagem na Rua Visconde de Ouro Preto, esquina com a Rua Artista Bitencourt",Rede de drenagem
"Indica Poda de Árvore que Obstrui a Visão do Semáforo na Rua dos Ilhéus, cruzamento com a Rua Artista Bitencourt",Limpeza Urbana
Indica ao Poder Executivo Municipal que seja realizada a instalação de uma placa de indicação/localização do Pró-Cidadão Lagoa.,Atendimento ao cidadão e serviços públicos essenciais
"Indica ao Executivo Municipal a necessidade de reparo da calçada em petit pavê na Praça Olívio Amorim, esquina com a Rua Herman Blumenau, no Centro de Florianópolis.",Criação e manutenção de área de lazer e atividade física
"Indica ao Executivo Municipal a necessidade de readequação da boca de lobo localizada na Praça Olívio Amorim, esquina com a Rua Herman Blumenau, no Centro de Florianópolis.",Criação e manutenção de área de lazer e atividade física
CONCEDE TÍTULO DE CIDADÃO HONORÁRIO DO MUNICÍPIO DE FLORIANÓPOLIS AO SENHOR CLÁUDIO IBRAHIM VAZ LEAL (BRANCO).,Título de cidadã e cidadão honorário
Concede Medalha Antonieta de Barros a Senhora Onélia Goedert Coelho.,Medalha Antonieta de Barros
Substitutivo Global ao PLC 1953/2024,Substitutivo
"DENOMINA SERVIDÃO PEDRO MANOEL LAPA, NO DISTRITO DO RIBEIRÃO DA ILHA EM FLORIANÓPOLIS.",Legalização e denominação de vias e espaços públicos
"ALTERA O ANEXO I DA LEI Nº 10.482, DE 18 DE DEZEMBRO DE 2019, E INSTITUI O DIA MUNICIPAL DO ESTADO LAICO NO MUNICÍPIO DE FLORIANÓPOLIS.",Dia Municipal
Requer informações ao Executivo Municipal sobre a situação atual dos documentos localizados no prédio da Av. Prefeito Osmar Cunha e a existência de estudos ou planejamento para transferência desse acervo a local mais adequado para sua preservação.,Organização administrativa e estrutura governamental
"Requer informações ao Executivo Municipal e à Secretaria Municipal de Segurança Pública sobre o planejamento das localizações das rondas da Guarda Municipal de Florianópolis, visando avaliar a necessidade de descentralização e revisão das estratégias de patrulhamento preventivo.",Prevenção e policiamento
"Requer informações ao Executivo Municipal e à Secretaria Municipal de Educação sobre o funcionamento, o atendimento e o desenvolvimento das atividades do programa Bairro Educador, incluindo dados de 2024–2025 e o planejamento para 2026.","Gestão de políticas sociais, de direitos e equidade"
"Solicitação de troca de lâmpadas e instalação de braços de iluminação – Servidão Paraná, Morro da Mariquinha",Iluminação pública
"Indica ao Executivo Municipal a necessidade de melhorias na iluminação pública das regiões do Matadeiro e da Armação, no Sul da Ilha.",Iluminação pública
"Indica ao Executivo Municipal a necessidade de execução de obras de drenagem no bairro Monte Verde, visando prevenir e mitigar os efeitos de enchentes.",Rede de drenagem
"Sugere providências ao órgão competente para a realização de obras de pavimentação, drenagem e alargamento de via em toda a extensão da Servidão Moinho de Vento, localizada no Bairro Ribeirão da Ilha, uma vez que se trata de uma via oficial, porém que ainda não foi contemplada com os referidos serviços de infraestrutura.",Manutenção da infraestrutura viária
"Retirada imediata de entulhos e madeiras depositados sobre a calçada na Rua Felipe Neves, nº 803, Bairro Canto.",Limpeza Urbana
"Reparo Asfáltico Rua São Pedro, localizada no bairro Monte Cristo",Manutenção da infraestrutura viária
"Retirada de entulhos, resíduos sólidos e lixo acumulado na Rua Coronel Caetano Costa, nº 217, Bairro Jardim Atlântico.",Limpeza Urbana
"Remoção de entulhos e lixo acumulados sobre a calçada localizada na Rua Luiz Carlos Prestes, nº 586, no Jardim Atlântico.",Limpeza Urbana
"Manutenção e substituição das lajotas danificadas na Rua Júlio Dias, nas proximidades do nº 227, Bairro Capoeiras.",Manutenção da infraestrutura viária
Indicação de repintura da faixa de pedestres já existente na Rodovia João Gualberto Soares - Rio Vermelho.,Manutenção da infraestrutura viária
"Indicação de Estudo na calçada da Rod. Admar Gonzaga, bairro Itacorubi.",Manutenção da infraestrutura viária
Indicação de reparo e e tapa-buraco na Rua Édio Ortiga Fedrigo – Centro.,Manutenção da infraestrutura viária
Indicação de providências para reparo da irregularidade no pavimento na Rua Maestro Aldo Krieguer.,Manutenção da infraestrutura viária
ALTERA O ARTIGO 1º DA LEI CMF N. 8.868/2012 PARA DENOMINAR VIA PÚBLICA DO MUNICÍPIO DE FLORIANÓPOLIS COMO RUA CÂNDIDO JOSÉ DA ROCHA,Legalização e denominação de vias e espaços públicos
"Requer projeto técnico e cronograma de obra e informação relativa a critérios sobre instalação de placas, no bairro Estreito.",Defesa Civil e Áreas de Risco
"Indicação de obras de pavimentação e recuperação viária na Servidão Antônio Cordeiro, situada no bairro Saco Grande",Manutenção da infraestrutura viária
"Solicita providências da Assistência Social da PMF em relação a presença de PSR na Praça Santos Dumont, na Trindade.",Criação e manutenção de área de lazer e atividade física
Indicação de reparo no pavimento da Rua Professor Clementino de Brito - Capoeiras.,Manutenção da infraestrutura viária
"DENOMINA VIA PÚBLICA, RUA JOSÉ SEVERIANO MARTINS",Legalização e denominação de vias e espaços públicos
"DENOMINA VIA PÚBLICA, RUA FRANCISCO GREGÓRIO DA SILVA",Legalização e denominação de vias e espaços públicos
Indicação de obras de pavimentação e recuperação viária na Servidão Passaredo - Rio Tavares,Manutenção da infraestrutura viária
"Retirada de entulhos e lixo acumulados na calçada localizada na Rua Tenente Albano Lúcio, nº 59, no bairro Canto.",Limpeza Urbana
Indica a necessidade de reparo urgente em boca de lobo (bueiro) na Servidão Frei Damião.,Rede de drenagem
"Retirada de entulhos e lixo acumulados na calçada localizada na Rua Coronel Caetano de Costa, nº 217, Bairro Jardim Atlântico.",Limpeza Urbana
"Roçagem da via pública, bem como a realocação da tampa de esgoto que se encontra ausente, na esquina da Travessa Antônio Teodoro da Silva com a Rua Cremilde de Oliveira, no Bairro Jardim Atlântico",Limpeza Urbana
"Solicito uma lombo faixa na Rodovia Virgílio Várzea, no bairro Saco Grande, em Florianópolis.",Organização do trânsito
"Dispõe sobre a obrigatoriedade de indicação da presença ou ausência de produtos de origem animal em cardápios, menus digitais, embalagens e demais meios de informação sobre alimentos fornecidos por estabelecimentos comerciais no município de Florianópolis, e dá outras providências.",Segurança alimentar e nutricional
"Dispõe sobre a aceitação de encaminhamentos médicos emitidos por profissionais não vinculados ao SUS para consultas, procedimentos ambulatoriais e cirúrgico e na rede pública de saúde do Município de Florianópolis/SC.",Gestão e Regulação da Saúde Pública
"Requer a ampliação da instrução do Projeto de Lei Complementar nº 02009/2025 de autoria do Poder Executivo, para que o projeto tramite na Comissão de Trabalho, Legislação Social e Serviço Público.",Pedido de tramitação em comissão
Pedido de Informação ao Tribunal de Contas de Santa Catarina (TCE/SC),Fiscalização administrativa e sanções
"REQUER O ENVIO DE EXPEDIENTE À SECRETARIA DE ESTADO DO TURISMO, SOLICITANDO A INSTALAÇÃO DE DECORAÇÃO LUMINOSA NA PONTE DA LAGOA DA CONCEIÇÃO, NESTA CAPITAL.",Manutenção da infraestrutura viária
"Solicita-se que a CASAN avalie e execute, com urgência, os reparos necessários na rede de água e/ou esgoto que possam estar contribuindo para o afundamento, desnivelamento e deslocamento das lajotas na via, ocasionando danos ao pavimento e riscos à comunidade.",Solicitação de urgência
Requerimento invocando o art. 171 do Regimento Interno desta Casa Legislativa.,Encerramento de discussão
"Sugere providências ao órgão competente para a realização de obras de pavimentação e drenagem em toda a extensão da Servidão Agenor Albino Medeiros, localizada no Bairro Morro das Pedras, uma vez que se trata de uma via oficial, porém que ainda não foi contemplada com os referidos serviços de infraestrutura.",Manutenção da infraestrutura viária
"Manutenção da boca de lobo localizada na Rua Heitor Blum, nº 310, Bairro Estreito.",Rede de drenagem
"Relajotamento da Rua das Seringueiras, no trecho compreendido entre os números 80 ao 130, no Bairro Chico Mendes.",Manutenção da infraestrutura viária
"Recuperação e manutenção da calçada localizada na Rua Doutor Fúlvio Aducci, nº 998, no bairro Estreito.",Manutenção da infraestrutura viária
"Manutenção e reparo do buraco localizado na Rua Irmã Bonita, nº 185, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
Indicação de estudo de viabilidade para instalação de faixa elevada de pedestres na Rua Frei Caneca – Bairro Agronômica,Organização do trânsito
Indicação de obras de pavimentação e recuperação viária na Rua Gravatá - Campeche,Manutenção da infraestrutura viária
"Indicação de instalação do abrigo no ponto de ônibus localizado na R. Prof Egídio Ferreira, 1155 - Monte Cristo",Rede de Assistência Social
Indicação de reparo na praça localizada na Rua Túlio de Oliveira - Armação,Criação e manutenção de área de lazer e atividade física
"Requer o envio de expediente ao Governo do Estado de Santa Catarina solicitando a instalação de dispositivo redutor de velocidade na Rodovia João Gualberto Soares, nesta Capital.",Organização do trânsito
"Requer o envio de expediente ao Governo do Estado de Santa Catarina solicitando a limpeza e manutenção da Rodovia João Gualberto Soares, nesta Capital.",Manutenção da infraestrutura viária
"Envio de expediente ao Governo do Estado de Santa Catarina, para avaliar a viabilidade e possibilitar a instalação de ciclovia na Rodovia João Gualberto Soares, via que conecta o bairro Barra da Lagoa ao Rio Vermelho, nesta Capital.",Manutenção da infraestrutura viária
"Requer realização de Reunião Ampliada na Comissão de Defesa do Consumidor, Direitos Humanos e Segurança Pública para tratar dos guinchamentos, multas e uso dos estacionamentos no Terminal Cidade de Florianópolis, com participação de órgãos públicos, entidades competentes e sociedade civil.",Fiscalização administrativa e sanções
